942|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXP170-5SL Coated 5-String Bass Guitar Strings Light 45-130 Super Long Scale","id":"EXP170-5SL","price":"0.00","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Light 5-String / Super Long Scale Set|EXP170-5SL|
943|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario CB032 Chromes Bass Guitar Single String .132","id":"CB132","price":"31.20","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Bass Chromes Flat Wound 132 Long Scale|CB132|
944|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4505LP Pro-Arte Composite Classical Guitar Single String Normal Tension Fifth String","id":"J4505LP","price":"6.20","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Silver Wound Composite Polished 033/J45LP 5th Norm Tension|J4505LP|
945|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ50 Pro-Arte Black Nylon Classical Guitar Strings Hard Tension","id":"EJ50","price":"10.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Nylon Core, Black Nylon Trebles|EJ50|
946|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ29 Classics Rectified Classical Guitar Strings Moderate Tension","id":"EJ29","price":"12.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Nylon Core, Rectified Nylon Trebles|EJ29|
947|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ENR71SL Half Round Bass Guitar Strings Regular Light 45-100 Super Long Scale","id":"ENR71SL","price":"27.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Regular Light / Super Long Set|ENR71SL|
948|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ENR71M Half Round Bass Guitar Strings Regular Light 45-100 Medium Scale","id":"ENR71M","price":"24.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Regular Light / Medium Scale Set|ENR71M|
949|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXPPBB170-5 Phosphor Bronze Coated 5-String Acoustic Bass Strings Long Scale 45-130","id":"EXPPBB170-5","price":"90.90","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Light 5-String / Long Scale Set|EXPPBB170-5|
950|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4704 80/20 Bronze Pro-Arte Nylon Classical Guitar Single String Normal Tension Fourth String","id":"J4704","price":"3.50","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single 80/20 Bronze Wound 029/J47 4th Normal Tension|J4704|
951|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4405C Pro-Arte Composite Classical Guitar Single String Extra-Hard Tension Fifth String","id":"J4405C","price":"5.50","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Silver Wound Composite 036/J44C 5th Extra-Hard Tension|J4405C|
952|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4301 Pro-Arte Nylon Classical Guitar Single String Light Tension First String","id":"J4301","price":"1.60","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Clear Nylon 0275/J43 1st Light Tension|J4301|
953|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXL160SL Nickel Wound Bass Guitar Strings Medium 50-105 Super Long Scale","id":"EXL160SL","price":"21.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Medium / Super Long Scale Set|EXL160SL|
954|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXPPBB170-5 Phosphor Bronze Coated 5-String Acoustic Bass Strings Long Scale 45-130","id":"EXPPBB170-5","price":"90.90","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Light 5-String / Long Scale Set|EXPPBB170-5|
955|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EJ46LP Pro-Arte Composite Classical Guitar Strings Hard Tension","id":"EJ46LP","price":"14.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Silver Plated Wrap, Composite Core, Clear Nylon Trebles|EJ46LP|
956|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ENR71SL Half Round Bass Guitar Strings Regular Light 45-100 Super Long Scale","id":"ENR71SL","price":"27.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Regular Light / Super Long Set|ENR71SL|
957|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario ETB92M Tapewound Bass Guitar Strings Medium 50-105 Medium Scale","id":"ETB92M","price":"48.99","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Medium / Medium Scale Set|ETB92M|
958|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario J4603 Pro-Arte Nylon Classical Guitar Single String Hard Tension Third String","id":"J4603","price":"1.80","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":""}]}}}|Single Clear Nylon 0410/J46/J71 3rd Hard Tension|J4603|
959|{"event":"productDetails","ecommerce":{"currencyCode":"USD","detail":{"products":[{"name":"DAddario EXP44 Coated Classical Guitar Strings Extra Hard Tension","id":"EXP44","price":"0.00","quantity":0.0,"brand":"D'Addario","category":"Guitar +","variant":"Pack Size-1"}]}}}|Extra Hard Tension|EXP44|
